#{"t_start": 1790227844.330543, "env_id": "None"}
r,l,t
1571.008004,1000,811.806689
1610.402098,1000,821.464174
2055.929151,1000,831.095981
1657.471711,1000,840.566067
2238.152666,1000,850.26386
1615.463668,1000,860.182164
2365.795036,1000,869.8871
2277.838082,1000,879.624274
2256.709919,1000,889.122211
2171.892566,1000,898.644512
2406.772856,1000,914.543485
2407.63002,1000,924.303936
2405.80895,1000,934.052032
2393.417244,1000,943.576499
2088.229532,1000,953.336189
1647.498582,1000,963.085124
2407.237005,1000,972.945973
2248.34565,1000,982.75996
1974.799521,1000,992.763431
1863.904049,1000,1002.577056
2295.864397,1000,1018.244682
2405.03216,1000,1028.092049
1608.766687,1000,1038.302821
1680.151518,1000,1048.011765
2360.908785,1000,1057.667619
1687.947215,1000,1067.193768
1696.322773,1000,1076.966488
2400.029001,1000,1086.783932
2041.386551,1000,1096.453692
2123.212015,1000,1106.132013
1735.117162,1000,1121.535807
1676.567027,1000,1131.348661
1756.703575,1000,1141.220407
1658.89008,1000,1151.073696
2205.302083,1000,1160.801321
1676.970873,1000,1170.57087
2403.568574,1000,1180.028241
2347.988833,1000,1189.693555
2403.576903,1000,1199.576086
2257.540429,1000,1208.964226
1772.57814,1000,1224.801098
1667.006488,1000,1234.966151
2364.927504,1000,1244.773535
1863.794978,1000,1254.616613
1873.581771,1000,1264.665422
1962.816949,1000,1274.391201
2288.269925,1000,1284.521811
2375.343837,1000,1294.546725
2029.286188,1000,1304.23555
2101.553585,1000,1314.003119
2237.897374,1000,1330.254265
2280.319832,1000,1340.078712
2050.524589,1000,1349.980224
1757.792734,1000,1360.300318
1984.231645,1000,1370.108079
1739.038981,1000,1380.187226
2363.141819,1000,1390.691012
1746.367495,1000,1400.616615
1682.452052,1000,1410.446048
1706.325267,1000,1420.284962
2019.992021,1000,1436.791223
1473.344117,1000,1446.615143
1476.086601,1000,1456.797584
2253.262924,1000,1466.866692
1710.073058,1000,1477.016017
2358.719207,1000,1487.04198
2361.881214,1000,1497.357303
2228.059201,1000,1507.198823
2278.66214,1000,1517.392717
2348.992135,1000,1527.354822
1658.192413,1000,1543.513979
2330.692211,1000,1553.529042
1490.244468,1000,1563.738005
2343.709527,1000,1573.732135
2382.390969,1000,1584.046787
1528.777098,1000,1594.115742
2319.002908,1000,1604.22482
2231.531509,1000,1614.057206
1726.909657,1000,1624.299606
2314.965694,1000,1634.393122
2250.381438,1000,1651.546388
1648.238744,1000,1663.560392
1738.427529,1000,1675.082124
2381.679297,1000,1685.828316
2224.402434,1000,1696.961622
1733.160561,1000,1707.162494
2374.569826,1000,1720.389712
2104.991841,1000,1731.185657
2372.41117,1000,1739.995076
2380.327499,1000,1749.060513
2224.584435,1000,1762.821967
1738.989525,1000,1770.715497
2292.461324,1000,1778.515998
2393.986027,1000,1786.40559
2298.026667,1000,1794.169383
1765.64522,1000,1801.968818
2154.070947,1000,1809.892184
2050.933015,1000,1817.845288
1902.988603,1000,1825.617435
1737.997085,1000,1833.344645
1757.076932,1000,1846.516291
1889.977754,1000,1854.31478
2364.748038,1000,1862.223547
2366.995553,1000,1869.942729
2322.492755,1000,1877.819391
2337.236746,1000,1885.593721
2073.949978,1000,1893.314895
2363.056192,1000,1901.164413
1690.144146,1000,1909.101993
1741.958069,1000,1916.891378
1645.211851,1000,1929.896719
1854.038601,1000,1937.812704
1646.700841,1000,1945.616881
1696.43391,1000,1953.455217
2397.95999,1000,1961.340269
1985.00693,1000,1969.315965
2061.137184,1000,1977.28597
2247.470743,1000,1985.225802
2392.586467,1000,1993.17197
2241.605796,1000,2001.0246
1897.274268,1000,2014.244422
1750.930722,1000,2022.230732
1564.318395,1000,2030.184306
2373.233956,1000,2038.139242
1898.824442,1000,2047.582354
1944.725237,1000,2055.303534
1867.113138,1000,2063.119388
1611.350439,1000,2070.930715
1708.637483,1000,2078.769035
1343.603592,1000,2086.627559
2135.689129,1000,2099.858678
2403.550008,1000,2107.612653
2015.726273,1000,2115.442061
2367.768409,1000,2123.189409
1769.991052,1000,2131.05917
1947.447687,1000,2138.815794
1779.610547,1000,2146.630143
1737.565551,1000,2154.465303
2051.566972,1000,2162.188083
1631.093791,1000,2170.081217
1592.178626,1000,2183.148029
2262.947859,1000,2190.835548
1887.991297,1000,2198.68087
1573.772985,1000,2206.451836
2390.188271,1000,2214.127157
1696.688844,1000,2221.891099
2407.728438,1000,2229.565439
2310.944147,1000,2237.340671
1806.687714,1000,2245.130161
1784.076836,1000,2252.894201
2406.074583,1000,2265.894146
1827.712698,1000,2273.652927
2405.879935,1000,2281.309659
1600.697312,1000,2289.059869
1774.090433,1000,2296.818467
1731.265555,1000,2304.535977
2229.895157,1000,2312.182924
2167.529672,1000,2319.925008
2372.163176,1000,2327.578289
1521.586725,1000,2335.343858
2053.519526,1000,2348.633284
1470.034837,1000,2356.452821
2013.348339,1000,2364.247553
2357.193325,1000,2371.887824
2407.845918,1000,2379.590944
2404.365214,1000,2387.263831
2179.03786,1000,2394.883416
1843.588844,1000,2402.587393
1283.149224,1000,2410.558277
1731.573797,1000,2418.470149
1811.428773,1000,2431.388342
2267.481256,1000,2439.060136
1740.234356,1000,2447.313403
1753.438987,1000,2456.968301
1911.782832,1000,2466.182759
1769.099757,1000,2475.150607
2336.326033,1000,2483.854991
2407.282622,1000,2492.690886
1694.822105,1000,2501.597007
2287.309024,1000,2510.468496
2407.457401,1000,2525.118514
2407.514381,1000,2535.03534
2395.277408,1000,2545.21883
2111.58891,1000,2555.095299
2407.061428,1000,2565.200243
2369.989361,1000,2575.039408
2222.558641,1000,2584.912627
2318.306028,1000,2595.054008
2406.533449,1000,2605.425262
2189.698514,1000,2616.187668
1593.30896,1000,2632.383971
2293.009029,1000,2641.750894
2283.306727,1000,2651.075627
2400.568775,1000,2660.430492
2247.747126,1000,2669.480375
2407.415004,1000,2678.569908
2339.500145,1000,2687.526904
2405.080244,1000,2696.430404
2406.663107,1000,2705.973236
2290.446035,1000,2716.391662
1794.464966,1000,2733.554244
1851.180108,1000,2743.621095
1802.939811,1000,2753.32984
2001.484344,1000,2762.74601
2056.859906,1000,2771.806653
1756.00268,1000,2780.85441
2069.831523,1000,2789.789213
2405.317357,1000,2798.575013
2407.12167,1000,2807.435594
2289.804503,1000,2816.64551
1835.082047,1000,2834.194675
1353.762931,1000,2845.429396
2405.008318,1000,2856.969645
2403.908106,1000,2867.376595
2345.516005,1000,2878.102553
2263.504891,1000,2889.181384
1908.619418,1000,2898.590589
1352.004473,1000,2908.132476
2152.408071,1000,2917.749341
2219.998741,1000,2927.06286
2391.748193,1000,2942.073091
1769.06624,1000,2951.573685
1872.362341,1000,2960.761878
1868.67245,1000,2971.124444
1769.01429,1000,2981.70925
2340.853707,1000,2992.275376
2054.78839,1000,3003.498749
2093.400139,1000,3012.941712
2394.95667,1000,3022.411918
2284.42657,1000,3032.055937
1757.497958,1000,3047.887584
1811.001586,1000,3057.630235
1928.600803,1000,3067.077744
1752.450972,1000,3076.277726
2367.094661,1000,3085.245216
1301.545499,1000,3094.339072
2391.67391,1000,3103.321661
1810.531034,1000,3112.364356
2105.232983,1000,3121.93746
2096.238219,1000,3132.326728
1852.96369,1000,3148.928084
1795.555434,1000,3158.500043
2134.964119,1000,3169.017465
2308.766599,1000,3180.261583
1864.077787,1000,3191.524539
2199.253822,1000,3201.994174
1804.297561,1000,3211.408394
2328.751517,1000,3220.527365
2166.208729,1000,3229.59249
1528.617595,1000,3238.761416
2340.121393,1000,3255.298606
1830.655188,1000,3265.39745
1595.975143,1000,3275.78814
2312.341321,1000,3286.287655
1914.503558,1000,3297.206784
1870.820136,1000,3307.529132
2210.670514,1000,3316.530283
1892.360292,1000,3325.527833
2143.599584,1000,3334.448327
1859.225074,1000,3343.417404
2285.910397,1000,3357.779177
2406.813782,1000,3366.69247
1848.669805,1000,3376.338522
1995.25815,1000,3385.497155
1817.804574,1000,3394.493166
1977.763559,1000,3403.658653
2246.861442,1000,3412.640799
1826.494015,1000,3421.609702
1923.945117,1000,3430.536488
2287.445272,1000,3439.462426
1908.048982,1000,3455.146288
1928.91118,1000,3465.075313
2318.906325,1000,3474.85369
2200.885888,1000,3484.616188
2105.210158,1000,3494.702882
1640.244728,1000,3504.879085
2024.053324,1000,3514.120792
2114.796351,1000,3523.388529
1820.884992,1000,3532.598841
1829.972552,1000,3541.734546
2048.293558,1000,3556.827803
2404.625042,1000,3565.925668
2174.034588,1000,3575.202694
2296.724339,1000,3584.230296
2041.343969,1000,3593.332691
1914.472807,1000,3602.322596
1719.754366,1000,3611.592056
2142.605874,1000,3620.736011
1802.474676,1000,3629.976529
1365.265856,1000,3639.208837
1969.555082,1000,3654.182088
1820.575616,1000,3663.302616
2077.839402,1000,3672.585736
1961.294728,1000,3681.591776
1937.530388,1000,3690.713114
2061.280596,1000,3699.889718
2405.96728,1000,3708.988919
1892.976393,1000,3718.107642
2407.252862,1000,3727.17439
2277.860221,1000,3736.141982
2267.142448,1000,3751.728904
2406.329003,1000,3760.962166
2335.569291,1000,3770.662218
1803.227553,1000,3780.16606
1867.652031,1000,3789.804162
2268.324755,1000,3798.792135
1696.236644,1000,3807.959702
2398.559983,1000,3816.99807
1801.056297,1000,3826.315737
1845.813128,1000,3835.392421
2012.708786,1000,3850.576056
2173.628119,1000,3859.638137
1846.72271,1000,3868.792107
1891.141214,1000,3878.206087
2048.282537,1000,3887.313265
2206.875869,1000,3896.233361
2052.552627,1000,3905.642504
1869.475291,1000,3916.12852
2405.536748,1000,3926.346673
1887.329323,1000,3936.929883
2406.001713,1000,3952.953988
2370.472871,1000,3962.496169
2258.743388,1000,3971.895858
1884.316342,1000,3981.566372
2317.611871,1000,3990.64666
2156.060153,1000,3999.871316
2300.059188,1000,4009.393367
2067.805078,1000,4018.754074
1917.06268,1000,4027.897036
1208.176222,1000,4038.709502
2406.99085,1000,4055.544136
1584.279766,1000,4066.03479
2074.393783,1000,4076.988654
2114.370923,1000,4086.8559
1798.003897,1000,4096.428856
1859.891427,1000,4105.75622
1329.450174,1000,4115.172665
2313.573455,1000,4124.540438
2288.486322,1000,4133.710505
2407.162431,1000,4142.729656
1891.761125,1000,4157.687985
1862.01375,1000,4166.777196
2407.52279,1000,4175.677696
1852.968178,1000,4184.702315
2381.133167,1000,4193.73234
2234.824263,1000,4202.65858
1893.757209,1000,4211.853669
2256.501533,1000,4220.970301
2281.201679,1000,4230.002836
2234.454127,1000,4239.255392
1817.533353,1000,4254.57849
2035.604236,1000,4263.593387
1228.162033,1000,4272.790487
2294.783146,1000,4282.181132
1935.016042,1000,4291.285916
1903.61372,1000,4300.366267
2407.71195,1000,4309.29855
2407.948764,1000,4318.380583
1949.536828,1000,4327.53666
1892.002363,1000,4336.673643
2096.072857,1000,4351.49718
2216.383085,1000,4360.522809
2268.260996,1000,4369.719149
1827.217543,1000,4378.805733
1885.301888,1000,4388.093932
1817.161404,1000,4397.353386
1953.280488,1000,4406.505772
2223.025413,1000,4415.511159
2053.756048,1000,4424.609063
2405.775283,1000,4433.487462
2194.01103,1000,4448.21464
2407.449606,1000,4457.20951
2263.490097,1000,4466.262547
1894.079745,1000,4475.416358
2405.458344,1000,4484.370179
2406.034783,1000,4493.4503
2406.976919,1000,4502.486924
2292.248934,1000,4511.66546
1716.228328,1000,4520.795386
2393.319214,1000,4529.844415
1859.089956,1000,4545.018266
2201.678733,1000,4554.232667
1993.975091,1000,4563.355958
2106.557042,1000,4572.520465
2404.872878,1000,4581.5119
2237.154841,1000,4590.5013
1963.681223,1000,4599.629523
2058.585873,1000,4609.021291
1858.063119,1000,4618.169627
2040.186398,1000,4627.309216
1577.499932,1000,4642.095556
2167.610968,1000,4651.141472
2407.093042,1000,4659.979644
1949.494053,1000,4669.02262
1964.002653,1000,4679.157382
1806.039479,1000,4688.896792
1927.574708,1000,4698.251171
2023.696155,1000,4707.745922
2293.329416,1000,4717.059939
1933.981155,1000,4726.542489
1907.372701,1000,4741.628585
2350.984442,1000,4750.833554
1894.293248,1000,4760.297915
2193.684694,1000,4769.593305
1986.26462,1000,4778.941878
1804.36878,1000,4788.263206
1983.325418,1000,4797.728159
2322.975663,1000,4806.967827
1771.860904,1000,4816.243546
2059.955774,1000,4825.49533
