#{"t_start": 1790149011.3405082, "env_id": "None"}
r,l,t
-125.02624,1000,445.694565
-128.226587,1000,448.75206
-156.262552,1000,450.044684
-145.543097,1000,453.131841
-141.641591,1000,454.436914
-183.320672,1000,457.497164
-147.567534,1000,458.79333
-259.426836,1000,461.8617
-147.072438,1000,463.179441
-426.473469,1000,466.364234
-149.412747,1000,467.666037
-136.061746,1000,468.963592
-119.910722,1000,472.043278
-198.74631,1000,473.343209
-130.300361,1000,476.55409
-404.763137,1000,477.886009
-171.027515,1000,480.973721
-398.701259,1000,482.316629
-393.562465,1000,485.420907
-311.510526,1000,486.730721
-342.334797,1000,489.73817
-362.33709,1000,491.067563
-91.01026,1000,494.214526
-149.778417,1000,495.523357
-392.104506,1000,498.592902
-132.703254,1000,499.89636
-127.655427,1000,502.928955
-410.296664,1000,504.311728
-380.738915,1000,507.282743
-114.957056,1000,508.581301
-98.037843,1000,511.64839
-337.166808,1000,512.995904
-152.616167,1000,515.470832
-157.375879,1000,516.799116
-93.920848,1000,519.290667
-103.23175,1000,520.590734
-97.576619,1000,523.765147
-120.63971,1000,525.063799
-85.713629,1000,528.037177
-178.922768,1000,529.347815
-346.469749,1000,532.444335
-130.500592,1000,533.743325
-106.669529,1000,536.796402
-36.860404,1000,538.102632
-73.967973,1000,541.177744
-342.441333,1000,542.506651
-352.477678,1000,545.621906
-93.476349,1000,546.917077
-76.888783,1000,550.213095
-97.069337,1000,551.526006
-21.246564,1000,554.974379
-105.771135,1000,556.300352
-57.613282,1000,559.421053
-106.817235,1000,560.720945
-214.200843,1000,562.053599
-79.109757,1000,565.129245
-58.233767,1000,566.421519
-80.576511,1000,569.516302
-43.429192,1000,570.816646
-73.076054,1000,573.842159
-42.861401,1000,575.138779
-11.299218,1000,578.185863
-39.742248,1000,579.490519
-38.950192,1000,582.589166
-68.584527,1000,583.896849
-42.922344,1000,586.981519
-24.088619,1000,588.285185
-8.146126,1000,591.333067
-307.413869,1000,592.703903
-47.977357,1000,595.820557
-0.067478,1000,597.14079
-303.112743,1000,600.194831
-24.554451,1000,601.508934
-345.449417,1000,604.637723
-28.332629,1000,605.947319
-34.034066,1000,609.000376
-16.250068,1000,610.310014
5.255307,1000,613.631217
-301.076175,1000,614.980102
39.862912,1000,618.09008
-285.772672,1000,619.437969
-201.219772,1000,622.647833
-6.754914,1000,623.95786
12.766837,1000,627.053345
30.345175,1000,628.368557
8.473737,1000,631.473158
-307.969105,1000,632.831469
-19.46641,1000,635.935169
-58.51093,1000,637.249063
-286.858408,1000,640.364689
-11.853445,1000,641.666501
-264.050696,1000,644.794245
-258.611108,1000,646.134653
0.091217,1000,649.225258
3.580225,1000,650.52368
-28.009193,1000,653.578886
-228.007209,1000,654.919897
-168.260609,1000,656.276742
25.400949,1000,659.356403
-258.484053,1000,660.72122
-41.094335,1000,663.819621
-279.366928,1000,665.160753
8.112517,1000,668.233071
3.167903,1000,669.528024
46.416198,1000,672.629887
-232.229775,1000,673.978575
-3.52363,1000,677.096399
-219.265751,1000,678.469092
25.130914,1000,681.569745
-225.460759,1000,682.942422
