#{"t_start": 1790178718.8318496, "env_id": "None"}
r,l,t
226.684249,1000,2495.277913
229.968855,1000,2511.839932
273.631785,1000,2528.185024
-164.873941,1000,2552.574071
230.358984,1000,2569.146443
288.294957,1000,2585.479892
236.359617,1000,2602.160201
-130.795863,1000,2619.39735
273.151517,1000,2636.756283
225.855398,1000,2653.300057
256.423404,1000,2669.838538
237.376693,1000,2687.876017
182.5342,1000,2707.260863
270.798081,1000,2732.991067
265.357604,1000,2754.390926
271.509387,1000,2777.064646
219.806906,1000,2799.640664
-159.458615,1000,2822.819256
272.561334,1000,2844.336616
285.954677,1000,2866.546785
205.574096,1000,2885.145917
218.368237,1000,2904.122204
-164.037093,1000,2925.126328
-175.777389,1000,2952.94973
302.931491,1000,2974.062896
282.522135,1000,2993.772114
-124.40019,1000,3013.406654
-162.556885,1000,3034.410819
255.925973,1000,3054.122604
265.681341,1000,3073.721077
253.967964,1000,3094.00306
-152.737931,1000,3114.428069
-168.131276,1000,3133.947629
261.438782,1000,3161.634209
-143.176121,1000,3181.097522
-176.662811,1000,3201.603737
-141.357663,1000,3220.356333
-137.449332,1000,3238.007373
235.403905,1000,3254.400592
227.338191,1000,3270.557176
-148.110326,1000,3287.135601
-148.744056,1000,3304.806737
228.928381,1000,3322.213975
-151.078953,1000,3346.932602
-155.393269,1000,3364.402514
289.544291,1000,3380.625928
315.478055,1000,3396.662993
-151.74837,1000,3412.848366
313.23453,1000,3428.972912
262.674967,1000,3444.696598
280.039359,1000,3460.523374
-154.431602,1000,3476.810796
311.701472,1000,3493.308999
275.571895,1000,3516.295327
280.431709,1000,3532.247757
287.041866,1000,3548.534731
314.276912,1000,3564.803115
-158.193774,1000,3581.049226
-154.783198,1000,3597.037983
-150.914391,1000,3612.991733
-169.518937,1000,3629.070857
-172.118487,1000,3644.962178
278.408491,1000,3660.894788
304.389261,1000,3684.059314
276.345359,1000,3699.970422
-123.970875,1000,3716.113621
-158.431819,1000,3732.107485
302.907339,1000,3747.912402
-136.543607,1000,3763.880702
-153.180157,1000,3780.924468
277.54942,1000,3797.737119
-143.961471,1000,3814.105982
-131.931512,1000,3830.699573
297.125271,1000,3854.469081
-161.318181,1000,3871.344317
310.398908,1000,3887.795404
-132.838634,1000,3904.179024
-130.923427,1000,3920.59902
333.9743,1000,3936.910285
-150.27773,1000,3953.646137
-120.428014,1000,3970.816001
295.809793,1000,3987.757058
309.130183,1000,4005.610873
251.087066,1000,4029.451252
278.536063,1000,4046.413062
286.01434,1000,4062.730784
-117.999539,1000,4079.825599
-134.217278,1000,4096.546293
308.688592,1000,4112.846293
330.136208,1000,4129.63933
-151.666143,1000,4147.040644
281.230293,1000,4163.853102
268.349067,1000,4180.180795
291.788828,1000,4203.529757
299.064095,1000,4220.694174
-139.929626,1000,4237.172751
-155.393746,1000,4253.830696
311.755191,1000,4270.279557
289.836027,1000,4286.830088
314.000532,1000,4303.420055
302.477068,1000,4320.928918
315.527121,1000,4338.503806
346.87636,1000,4355.09372
283.503378,1000,4379.704249
311.311148,1000,4396.84965
-152.263182,1000,4413.471725
304.868087,1000,4430.000555
348.11128,1000,4446.612367
263.546067,1000,4463.25755
304.072939,1000,4480.773033
273.538472,1000,4499.161924
271.846896,1000,4516.036942
-171.576026,1000,4532.597116
312.420054,1000,4556.436822
315.179068,1000,4573.085808
323.630418,1000,4589.603694
334.031918,1000,4606.264234
-174.370724,1000,4623.071534
335.826559,1000,4639.580581
-179.650465,1000,4657.077603
342.186708,1000,4674.449023
289.18447,1000,4691.155684
286.562135,1000,4707.808117
298.22295,1000,4731.685735
-174.452384,1000,4748.534009
-165.048026,1000,4765.222196
316.597401,1000,4782.099989
299.862022,1000,4798.988705
-139.465236,1000,4815.838352
340.573542,1000,4833.085421
-211.67231,1000,4850.230577
303.426581,1000,4866.960614
306.87266,1000,4883.473056
-148.638075,1000,4907.483342
315.447196,1000,4924.296712
311.397557,1000,4940.766334
-154.380658,1000,4957.228624
266.99745,1000,4973.875224
331.411139,1000,4990.467018
362.349185,1000,5007.664567
331.314568,1000,5025.24515
-146.074441,1000,5042.182802
-125.602729,1000,5058.866458
326.365158,1000,5082.643838
344.111278,1000,5099.688811
344.563021,1000,5116.22821
-150.819102,1000,5132.838366
-174.672802,1000,5149.532079
310.526205,1000,5166.259688
-163.589595,1000,5183.563883
349.650338,1000,5200.809484
331.206506,1000,5217.446085
-162.178621,1000,5234.32252
