sweep,vx_cmd,yaw_cmd,episode,mean_vx,mean_yaw_rate,vx_mae,yaw_mae,minimum_upright,fall,displacement,lateral_drift,path_efficiency
yaw,0.1,0.0,1,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
yaw,0.1,0.0,2,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
yaw,0.1,0.0,3,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
yaw,0.1,0.0,4,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
yaw,0.1,0.0,5,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
yaw,0.1,0.25,1,0.01249259568042026,-0.05130290732686889,0.08958444972082305,0.49159857152384734,0.9992825356720165,False,0.23167472352490615,0.08588744444210437,0.4348081228752962
yaw,0.1,0.25,2,0.01249259568042026,-0.05130290732686889,0.08958444972082305,0.49159857152384734,0.9992825356720165,False,0.23167472352490615,0.08588744444210437,0.4348081228752962
yaw,0.1,0.25,3,0.01249259568042026,-0.05130290732686889,0.08958444972082305,0.49159857152384734,0.9992825356720165,False,0.23167472352490615,0.08588744444210437,0.4348081228752962
yaw,0.1,0.25,4,0.01249259568042026,-0.05130290732686889,0.08958444972082305,0.49159857152384734,0.9992825356720165,False,0.23167472352490615,0.08588744444210437,0.4348081228752962
yaw,0.1,0.25,5,0.01249259568042026,-0.05130290732686889,0.08958444972082305,0.49159857152384734,0.9992825356720165,False,0.23167472352490615,0.08588744444210437,0.4348081228752962
yaw,0.1,0.5,1,0.03425667168781511,0.00862115740811969,0.07166882687043616,0.9911898011607636,0.997460244697953,False,0.3638037651662095,0.36362934773188826,0.27039508487739417
yaw,0.1,0.5,2,0.03425667168781511,0.00862115740811969,0.07166882687043616,0.9911898011607636,0.997460244697953,False,0.3638037651662095,0.36362934773188826,0.27039508487739417
yaw,0.1,0.5,3,0.03425667168781511,0.00862115740811969,0.07166882687043616,0.9911898011607636,0.997460244697953,False,0.3638037651662095,0.36362934773188826,0.27039508487739417
