#{"t_start": 1790174825.5145156, "env_id": "None"}
r,l,t
-395.463225,1000,1302.847305
-123.245583,1000,1315.051117
-78.789147,1000,1327.181666
-391.431755,1000,1338.952243
-74.283638,1000,1351.489299
-88.258581,1000,1364.125913
-35.893769,1000,1382.087571
-79.523149,1000,1394.785851
-123.339708,1000,1407.253466
-90.766029,1000,1420.726686
-42.60742,1000,1433.185193
-55.307216,1000,1445.973675
-376.990297,1000,1457.16598
-46.118126,1000,1468.154751
-58.067395,1000,1480.414116
12.383743,1000,1492.576725
-6.821846,1000,1510.542682
-368.513679,1000,1522.757904
-373.178535,1000,1534.709622
-134.616809,1000,1547.212663
-58.755906,1000,1558.941199
-404.381057,1000,1571.246648
-22.05148,1000,1583.057148
-374.915259,1000,1595.9144
-192.539866,1000,1607.268363
-23.189014,1000,1620.828089
-211.509598,1000,1638.56142
-17.456986,1000,1651.840544
-58.153505,1000,1664.018838
-408.694502,1000,1675.821008
3.33168,1000,1688.49159
-5.914743,1000,1700.981753
-51.289821,1000,1713.696497
38.18516,1000,1726.016228
20.406693,1000,1738.79688
-400.627188,1000,1750.037946
-393.59538,1000,1765.975486
9.224092,1000,1778.038234
-23.38216,1000,1789.931354
-6.383572,1000,1801.957872
-27.915774,1000,1814.266256
72.771242,1000,1827.09409
16.642474,1000,1839.995106
-416.750998,1000,1852.607951
-146.247707,1000,1865.155926
29.126119,1000,1877.792546
-369.903601,1000,1897.019094
64.057738,1000,1909.424475
70.509841,1000,1922.33441
-360.134351,1000,1935.246485
43.944579,1000,1948.303015
104.414209,1000,1960.423578
-376.91052,1000,1972.121287
54.898312,1000,1985.132902
119.188897,1000,1997.515601
78.558443,1000,2009.578655
105.282473,1000,2028.197119
74.787209,1000,2040.122429
-416.162811,1000,2052.936097
-385.520033,1000,2065.008942
103.342867,1000,2075.62754
-416.664926,1000,2088.649453
40.052023,1000,2100.817553
125.790368,1000,2112.884474
114.122438,1000,2125.773394
160.32652,1000,2137.664633
148.67781,1000,2155.908659
-415.881353,1000,2167.955326
82.363737,1000,2180.381527
-383.042156,1000,2192.882371
189.029435,1000,2205.448258
109.0058,1000,2217.687987
100.496741,1000,2229.69879
132.954229,1000,2242.473615
-389.814566,1000,2254.143004
84.624421,1000,2266.286364
-281.702348,1000,2285.260659
-390.304932,1000,2298.522935
-395.40953,1000,2310.139445
121.454232,1000,2322.9698
-71.240316,1000,2335.439125
178.55274,1000,2347.739479
173.165434,1000,2360.213971
-412.696775,1000,2373.629227
216.932443,1000,2384.85303
143.85437,1000,2396.567229
193.739627,1000,2413.25184
183.744402,1000,2424.868879
-409.603074,1000,2437.64396
-363.043852,1000,2449.386136
121.174762,1000,2461.382542
188.679445,1000,2473.832732
-406.695027,1000,2486.66713
195.503262,1000,2499.159515
258.190234,1000,2512.427113
-404.427161,1000,2525.4911
144.966953,1000,2544.506336
161.064229,1000,2556.65259
-405.702174,1000,2568.714899
238.031751,1000,2581.850652
215.210057,1000,2594.360422
-400.088917,1000,2607.623251
-390.768923,1000,2620.578999
256.335246,1000,2633.599629
-400.934104,1000,2646.853567
207.618212,1000,2659.964222
249.591011,1000,2680.134808
-386.411765,1000,2692.689339
190.863041,1000,2705.335021
-366.35583,1000,2717.645459
241.05652,1000,2730.951384
258.511706,1000,2743.364212
260.981153,1000,2756.494852
236.869737,1000,2768.967535
159.381779,1000,2781.963152
254.140321,1000,2795.002406
-410.566818,1000,2814.059844
-384.103786,1000,2827.116099
208.37074,1000,2840.003138
264.704133,1000,2852.696053
250.863492,1000,2865.032347
237.978689,1000,2877.864243
272.073663,1000,2889.929585
289.877464,1000,2903.16743
-374.227446,1000,2915.899078
-389.967511,1000,2928.008111
243.983988,1000,2946.664918
88.535266,1000,2959.037433
249.183156,1000,2972.012191
261.362267,1000,2985.276827
338.231608,1000,2998.183679
273.766275,1000,3010.884449
307.852688,1000,3023.128065
295.211996,1000,3035.876335
330.48235,1000,3048.50051
268.380677,1000,3061.679681
238.441083,1000,3080.868947
306.397459,1000,3093.722766
-361.450852,1000,3106.125327
-408.84926,1000,3119.260236
342.919901,1000,3132.057716
-395.836732,1000,3145.107606
281.425262,1000,3157.45242
-407.946591,1000,3169.959672
333.506761,1000,3183.343569
323.34547,1000,3196.434347
299.838526,1000,3216.242496
284.823202,1000,3229.391181
357.493744,1000,3242.969644
-438.824031,1000,3255.129627
310.197596,1000,3268.431742
357.939277,1000,3279.937247
330.334766,1000,3292.414303
-441.019021,1000,3305.846709
259.586238,1000,3319.16985
-402.312244,1000,3331.677357
357.671063,1000,3350.823538
324.027376,1000,3363.621778
305.205078,1000,3376.369437
296.52764,1000,3389.551516
147.940123,1000,3402.440092
339.770142,1000,3415.365309
351.174893,1000,3428.101282
-353.463444,1000,3441.36962
-362.925715,1000,3454.557583
318.200883,1000,3467.275775
-380.173413,1000,3485.526781
-413.254498,1000,3498.924635
313.014028,1000,3511.538568
-76.871392,1000,3524.288268
338.089526,1000,3537.501463
372.002175,1000,3550.778142
-375.860488,1000,3563.806969
-374.041303,1000,3576.922239
293.032171,1000,3589.175846
375.973028,1000,3602.608466
314.463093,1000,3622.812966
-365.997702,1000,3635.698484
-386.487985,1000,3647.518502
101.812256,1000,3659.614402
-372.618739,1000,3672.386848
323.061243,1000,3685.976096
173.580459,1000,3698.919987
-379.809598,1000,3712.153393
-403.205107,1000,3725.211814
-394.805217,1000,3738.501452
