cycle,start_time,end_time,delta_forward,delta_lateral,delta_yaw_deg,R1-R4_duty,R1-R4_mean_force,R1-R4_force_when_contact,R2-R3_duty,R2-R3_mean_force,R2-R3_force_when_contact,L1-L3_duty,L1-L3_mean_force,L1-L3_force_when_contact,L2-L4_duty,L2-L4_mean_force,L2-L4_force_when_contact
13,8.68,9.32,-0.0038109061855182906,0.0009222825149934652,-19.48994678475693,0.48484848484848486,1.0055282687547924,2.0739020543067594,0.3939393939393939,1.0886063067153935,2.7633852401236916,0.36363636363636365,0.9802561167796161,2.695704321143944,0.30303030303030304,0.656222411375363,2.165533957538698
14,9.34,9.98,0.0035308205556071237,0.005536433232364786,17.372509349869283,0.18181818181818182,0.4020937471157189,2.211515609136454,0.24242424242424243,0.66072178708683,2.7254773717331733,0.30303030303030304,0.6378696987329211,2.1049700058186396,0.24242424242424243,0.5900172308793405,2.4338210773772797
15,10.0,10.66,-0.0064318565600131545,-0.000729851535746806,12.737062168768576,0.29411764705882354,0.912713759851863,3.1032267834963343,0.38235294117647056,0.9051639602652896,2.3673518960784494,0.29411764705882354,0.6596144551502112,2.2426891475107187,0.38235294117647056,0.9481361238822184,2.4797406316919557
16,10.68,11.32,-0.02047399616626228,0.018479177525410555,3.229503153446857,0.42424242424242425,1.04396239698352,2.4607685071754397,0.36363636363636365,0.8543637047245226,2.349500187992437,0.30303030303030304,0.8771751348022898,2.8946779448475564,0.30303030303030304,0.9735843544175049,3.212828369577766
17,11.34,11.98,-0.013120909354913734,0.0005756692306557513,18.508070506701916,0.3333333333333333,0.8135929201011547,2.440778760303464,0.42424242424242425,1.039470968576062,2.4501815687864315,0.24242424242424243,0.6884372766771304,2.839803766293163,0.2727272727272727,0.839196734269339,3.0770546923209094
18,12.0,12.66,-0.01824117280596208,0.03971985759589959,-2.6207681265499563,0.38235294117647056,0.9124924053200657,2.386518598529403,0.4117647058823529,0.9257010659472307,2.24813116015756,0.35294117647058826,0.8596637090400544,2.4357138422801543,0.3235294117647059,0.8702186995062384,2.6897668893829194
19,12.68,13.32,-0.02662484580777069,0.02577302715819032,21.76704385151322,0.3939393939393939,0.8150946563830428,2.069086435433878,0.45454545454545453,0.8598453413774041,1.8916597510302886,0.3939393939393939,0.8723983131591604,2.2145495641732538,0.24242424242424243,0.5593244398540939,2.3072133143981373
20,13.34,13.98,0.03372018179047814,0.0029802908401172674,14.131741558397117,0.36363636363636365,0.884042951429748,2.431118116431807,0.45454545454545453,1.033933445879034,2.2746535809338746,0.2727272727272727,0.514963354078402,1.8881989649541404,0.3939393939393939,0.8236287348877767,2.090749865484356
21,14.0,14.66,0.007068791487186539,-0.005837722491734646,11.019990541164255,0.29411764705882354,0.8629514596264888,2.934034962730062,0.4117647058823529,0.9211899450348763,2.2371755807989855,0.20588235294117646,0.808497610489652,3.926988393806881,0.29411764705882354,0.8220299790758145,2.7949019288577697
22,14.68,15.32,0.04181286804962998,0.028115232138823387,-43.04882508553554,0.3333333333333333,0.7966648264025579,2.389994479207674,0.3333333333333333,0.8912248915448847,2.673674674634654,0.45454545454545453,0.9968789795890515,2.1931337550959134,0.48484848484848486,1.1618855978626654,2.3963890455917474
23,15.34,15.98,0.010880830446110648,-0.0021437462689413165,-8.565466045355663,0.30303030303030304,0.8764539998825693,2.8922981996124784,0.24242424242424243,0.8586443293300146,3.54190785848631,0.24242424242424243,0.6213367292583236,2.563014008190585,0.24242424242424243,0.7412903913537807,3.0578228643343452
24,16.0,16.66,-0.02768826720458411,0.03428103717042184,9.01095847420808,0.35294117647058826,0.6914972955485553,1.9592423373875734,0.4117647058823529,0.7110440527507226,1.7268212709660404,0.4411764705882353,1.0086597215381352,2.286295368819773,0.35294117647058826,0.6794119378366653,1.9250004905372184
25,16.68,17.32,0.028790485897896758,0.03534645827348803,-19.21886203012053,0.42424242424242425,1.0801724423741879,2.546120757024871,0.2727272727272727,0.6845515094586632,2.5100222013484323,0.5151515151515151,1.1899321957167945,2.3098683799208364,0.3333333333333333,0.9713032491068587,2.9139097473205764
26,17.34,17.98,-0.028732652589708033,0.031600935207084,11.950943114951855,0.48484848484848486,1.2946712763752235,2.6702595075238986,0.42424242424242425,1.2588274901435756,2.9672362267669996,0.30303030303030304,0.9130652293886481,3.0131152569825383,0.30303030303030304,0.7704673714100784,2.5425423256532587
27,18.0,18.66,0.01068804721759164,-0.008548515682219022,37.54210936603475,0.3235294117647059,0.7463782921966319,2.306987448607771,0.38235294117647056,1.0123872004477332,2.6477819088633017,0.29411764705882354,0.8892952432750441,3.02360382713515,0.23529411764705882,0.5608715244284419,2.3837039788208783
28,18.68,19.32,0.027580504866149817,0.031651437158989916,-2.7188459992184173,0.36363636363636365,0.963216111720735,2.648844307232022,0.3939393939393939,0.800932815194448,2.0331371462628294,0.3939393939393939,0.9556824297944009,2.425963091016556,0.3333333333333333,0.8793309734839875,2.6379929204519628
29,19.34,19.98,0.0296322337029416,0.01193465850252802,12.505376591704874,0.36363636363636365,0.9240636390308806,2.5411750073349215,0.30303030303030304,0.7666229849236086,2.529855850247908,0.24242424242424243,0.7307956144697723,3.0145319096878107,0.3333333333333333,0.961433055722605,2.8842991671678146
