step,time,cycle,phase,leg,event,forward_velocity,lateral_velocity,yaw_rate_deg_s
8,0.16,0,0.24000000000000002,L2-L4,touchdown,-0.006840312567967232,-0.14571277113509598,14.414894986657725
9,0.18,0,0.27,L2-L4,liftoff,-0.005249032801699085,-0.03272553149206887,23.094177944639192
12,0.24,0,0.36,R1-R4,liftoff,0.009149250229414995,0.06823567125559322,-0.24167044771252819
12,0.24,0,0.36,R2-R3,liftoff,0.009149250229414995,0.06823567125559322,-0.24167044771252819
12,0.24,0,0.36,L1-L3,touchdown,0.009149250229414995,0.06823567125559322,-0.24167044771252819
12,0.24,0,0.36,L2-L4,touchdown,0.009149250229414995,0.06823567125559322,-0.24167044771252819
13,0.26,0,0.39,R1-R4,touchdown,0.0008569492157329634,-0.04716919055312925,-2.7156977231446704
13,0.26,0,0.39,R2-R3,touchdown,0.0008569492157329634,-0.04716919055312925,-2.7156977231446704
13,0.26,0,0.39,L1-L3,liftoff,0.0008569492157329634,-0.04716919055312925,-2.7156977231446704
13,0.26,0,0.39,L2-L4,liftoff,0.0008569492157329634,-0.04716919055312925,-2.7156977231446704
14,0.28,0,0.42000000000000004,R1-R4,liftoff,0.002958067746484431,0.05241478418266995,2.747143489735623
14,0.28,0,0.42000000000000004,R2-R3,liftoff,0.002958067746484431,0.05241478418266995,2.747143489735623
15,0.3,0,0.45,R1-R4,touchdown,-0.007573298564758939,0.08917413673862758,-28.401913812054282
15,0.3,0,0.45,R2-R3,touchdown,-0.007573298564758939,0.08917413673862758,-28.401913812054282
16,0.32,0,0.48000000000000004,L1-L3,touchdown,-0.007616893406315622,0.15223644366345723,-41.723502200052145
16,0.32,0,0.48000000000000004,L2-L4,touchdown,-0.007616893406315622,0.15223644366345723,-41.723502200052145
17,0.34,0,0.5100000000000001,R1-R4,liftoff,-0.00046222229109584446,0.15323283238073399,-4.330181854766206
17,0.34,0,0.5100000000000001,R2-R3,liftoff,-0.00046222229109584446,0.15323283238073399,-4.330181854766206
17,0.34,0,0.5100000000000001,L1-L3,liftoff,-0.00046222229109584446,0.15323283238073399,-4.330181854766206
17,0.34,0,0.5100000000000001,L2-L4,liftoff,-0.00046222229109584446,0.15323283238073399,-4.330181854766206
19,0.38,0,0.5700000000000001,L1-L3,touchdown,-0.014651599427783428,0.11850665303229073,-7.01686834082316
19,0.38,0,0.5700000000000001,L2-L4,touchdown,-0.014651599427783428,0.11850665303229073,-7.01686834082316
20,0.4,0,0.6000000000000001,L1-L3,liftoff,-0.0007890674707099346,-0.044342181595066886,15.843526879048502
20,0.4,0,0.6000000000000001,L2-L4,liftoff,-0.0007890674707099346,-0.044342181595066886,15.843526879048502
21,0.42,0,0.63,R2-R3,touchdown,0.006655939184424375,-0.11952373840854418,20.998150552524802
21,0.42,0,0.63,L2-L4,touchdown,0.006655939184424375,-0.11952373840854418,20.998150552524802
22,0.44,0,0.66,R1-R4,touchdown,0.028648028383991143,-0.1289626457278743,174.3188239000085
22,0.44,0,0.66,L2-L4,liftoff,0.028648028383991143,-0.1289626457278743,174.3188239000085
23,0.46,0,0.6900000000000001,R1-R4,liftoff,7.613520200428544e-05,-0.0697481586661892,9.285259088064798
23,0.46,0,0.6900000000000001,R2-R3,liftoff,7.613520200428544e-05,-0.0697481586661892,9.285259088064798
23,0.46,0,0.6900000000000001,L1-L3,touchdown,7.613520200428544e-05,-0.0697481586661892,9.285259088064798
25,0.5,0,0.75,R1-R4,touchdown,0.047659940776138256,-0.006614921511521693,-106.61012264530102
25,0.5,0,0.75,R2-R3,touchdown,0.047659940776138256,-0.006614921511521693,-106.61012264530102
